name,RA,DEC,Period,T1,incl,inclerror,q,qerror,t2t1,t2t1error,f,ferror,l3,l3error,r1,r2,L2/L1,R2
TIC 387513120,42.9803473,8.416131201,0.303774802,5227,80.74677151,0.315304093,0.161704335,0.000950855,1.009752834,0.001277032,0.348742913,0.015240458,0,0,0.55479824,0.251995779,0.210195127,0.993304218
TIC 95525590,202.7715618,12.26174596,0.218062596,4456.5,77.49295363,0.279534495,1.05414009,0.086589856,0.962234798,0.001420544,0.141364444,0.008737833,0,0,0.388618729,0.397854212,0.866268204,0.99852835
TIC 311235572,253.9881087,68.20008934,0.619216896,7195.25,79.2990879,0.161236211,0.264931237,0.003438865,1.021617591,0.002216807,0.698420969,0.023949554,0,0,0.53634381,0.313504416,0.35142407,0.998027434
TIC 55753802,181.5824655,57.17644136,0.41584738,6610.75,83.14278423,0.47086791,0.253599505,0.005427837,0.990975309,0.001044453,0.628450549,0.017977722,0.143814036,0.013644064,0.535323645,0.304813055,0.307216524,0.998910163
TIC 121134517,58.00085802,-21.93009694,0.335226808,6116.424804,77.5338054,0.084967803,0.190410129,0.000439726,1.029645224,0.000728996,0.136153882,0.000945549,0,0,0.533238261,0.253906774,0.248724049,0.995489114
TIC 1981621672,309.3401035,75.60052477,0.278219067,5850,76.92053581,0.443232806,3.535607159,0.014301539,0.919402622,0.00153056,0.621063108,0.024135902,0,0,0.314478827,0.527441373,2.149734194,0.986517837
TIC 326242641,41.27993635,-18.13250547,0.364989977,6312,78.29759523,0.212561575,0.303309861,0.003379784,1.017272559,0.000852511,0.331185351,0.011443985,0.073473646,0.007803628,0.505369728,0.301729915,0.370398883,0.998317464
TIC 50717816,126.4982859,-6.228882714,0.383411166,6714.666504,71.08171507,0.68234427,0.203676177,0.017310423,0.991800193,0.002472777,0.590229545,0.034480562,0,0,0.54849667,0.282957634,0.252208327,0.999392503
TIC 257525627,45.81175976,-23.1866686,0.456310804,6563.5,79.89022667,0.283934866,0.20412409,0.00146023,0.984495217,0.00113581,0.630320898,0.017449502,0.016430668,0.001928491,0.550265994,0.285409756,0.247403499,0.997842675
TIC 198560607,255.3410406,42.16386531,0.370298631,6014.333496,77.49692773,0.365603091,1.979160853,0.105609649,0.970529689,0.001115023,0.407810376,0.015823903,0.133302663,0.004512552,0.353569095,0.471211974,1.626357791,0.99657467
